time_ms,sample_index,mode,raw_gsr,median_gsr,scl_baseline,scr_detect_baseline,phasic,phasic_pos,scr_threshold,scr_flag,scr_peak_time_ms,scr_peak_sample_index,scl_mean_30s,scr_amplitude_mean_30s,ns_scr_frequency_per_min,baseline_scl_mean,baseline_scl_std,baseline_phasic_mean,baseline_phasic_std,baseline_phasic_pos_mean,baseline_phasic_pos_std,scl_mean_z,scr_amplitude_mean_z,ns_scr_frequency_z,scl_stress_score,scr_amplitude_stress_score,ns_scr_frequency_stress_score,final_gsr_stress_score,feature_ready,min_scr_threshold_adc,max_scr_threshold_adc,contact_ok,valid_sample_flag
10300,102,0,193,193.00,190.52,191.06,1.94,1.94,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
10400,103,0,192,193.00,190.55,191.10,1.90,1.90,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
10500,104,0,194,193.00,190.57,191.14,1.86,1.86,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
10600,105,0,192,192.00,190.58,191.16,0.84,0.84,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
10700,106,0,193,193.00,190.61,191.19,1.81,1.81,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
10800,107,0,193,193.00,190.63,191.23,1.77,1.77,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
10900,108,0,192,193.00,190.65,191.26,1.74,1.74,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
11000,109,0,193,193.00,190.67,191.30,1.70,1.70,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
11100,110,0,194,193.00,190.69,191.33,1.67,1.67,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
11200,111,0,194,194.00,190.72,191.39,2.61,2.61,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
11300,112,0,194,194.00,190.75,191.44,2.56,2.56,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
11400,113,0,193,194.00,190.78,191.49,2.51,2.51,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
11500,114,0,194,194.00,190.81,191.54,2.46,2.46,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
11600,115,0,194,194.00,190.84,191.59,2.41,2.41,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
11700,116,0,193,194.00,190.86,191.64,2.36,2.36,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
11800,117,0,194,194.00,190.89,191.68,2.32,2.32,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
11900,118,0,195,194.00,190.92,191.73,2.27,2.27,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
12000,119,0,194,194.00,190.94,191.78,2.22,2.22,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
12100,120,0,192,194.00,190.97,191.82,2.18,2.18,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
12200,121,0,194,194.00,190.99,191.86,2.14,2.14,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
12300,122,0,193,193.00,191.01,191.89,1.11,1.11,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
12400,123,0,193,193.00,191.02,191.91,1.09,1.09,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
12500,124,0,194,193.00,191.04,191.93,1.07,1.07,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
12600,125,0,194,194.00,191.06,191.97,2.03,2.03,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
12700,126,0,192,194.00,191.09,192.01,1.99,1.99,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
12800,127,0,192,192.00,191.09,192.01,-0.01,0.00,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
12900,128,0,192,192.00,191.10,192.01,-0.01,0.00,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
13000,129,0,191,192.00,191.11,192.01,-0.01,0.00,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
13100,130,0,194,192.00,191.11,192.01,-0.01,0.00,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
13200,131,0,193,193.00,191.13,192.03,0.97,0.97,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
13300,132,0,193,193.00,191.14,192.05,0.95,0.95,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
13400,133,0,192,193.00,191.16,192.07,0.93,0.93,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
13500,134,0,193,193.00,191.17,192.09,0.91,0.91,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
13600,135,0,193,193.00,191.18,192.11,0.89,0.89,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
13700,136,0,192,193.00,191.20,192.12,0.88,0.88,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
13800,137,0,192,192.00,191.20,192.12,-0.12,0.00,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
13900,138,0,192,192.00,191.21,192.12,-0.12,0.00,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
14000,139,0,193,192.00,191.21,192.12,-0.12,0.00,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
14100,140,0,193,193.00,191.23,192.13,0.87,0.87,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
14200,141,0,193,193.00,191.24,192.15,0.85,0.85,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
14300,142,0,192,193.00,191.25,192.17,0.83,0.83,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
14400,143,0,192,192.00,191.26,192.17,-0.17,0.00,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
14500,144,0,192,192.00,191.26,192.16,-0.16,0.00,6.00,0,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6.00,15.00,1,1
