Timestamp,Type,Raw_Value,PPG_Mean_HR,PPG_SDNN,PPG_RMSSD,GSR_SCL_Mean,GSR_SCR_Amp,GSR_NSSCR_Freq
2026-05-04 22:29:31.081,P,133697,,,,,,
2026-05-04 22:29:31.082,P,105723,,,,,,
2026-05-04 22:29:31.082,P,133427,,,,,,
2026-05-04 22:29:31.142,P,26400,,,,,,
2026-05-04 22:29:31.143,P,91635,,,,,,
2026-05-04 22:29:31.144,P,230938,,,,,,
2026-05-04 22:29:31.200,P,86858,,,,,,
2026-05-04 22:29:31.201,P,225703,,,,,,
2026-05-04 22:29:31.201,P,113202,,,,,,
2026-05-04 22:29:31.261,P,246099,,,,,,
2026-05-04 22:29:31.261,P,50474,,,,,,
2026-05-04 22:29:31.262,P,221532,,,,,,
2026-05-04 22:29:31.322,P,85125,,,,,,
2026-05-04 22:29:31.323,P,199389,,,,,,
2026-05-04 22:29:31.324,P,228233,,,,,,
2026-05-04 22:29:31.383,P,215182,,,,,,
2026-05-04 22:29:31.384,P,19457,,,,,,
2026-05-04 22:29:31.386,P,62876,,,,,,
2026-05-04 22:29:31.440,P,215128,,,,,,
2026-05-04 22:29:31.440,P,24757,,,,,,
2026-05-04 22:29:31.441,P,248973,,,,,,
2026-05-04 22:29:31.502,P,252852,,,,,,
2026-05-04 22:29:31.504,P,89929,,,,,,
2026-05-04 22:29:31.505,P,140331,,,,,,
2026-05-04 22:29:31.562,P,229390,,,,,,
2026-05-04 22:29:31.563,P,222561,,,,,,
2026-05-04 22:29:31.564,P,221601,,,,,,
2026-05-04 22:29:31.621,P,60038,,,,,,
2026-05-04 22:29:31.622,P,73223,,,,,,
2026-05-04 22:29:31.623,P,108037,,,,,,
2026-05-04 22:29:31.680,P,106665,,,,,,
2026-05-04 22:29:31.681,P,258099,,,,,,
2026-05-04 22:29:31.683,P,40743,,,,,,
2026-05-04 22:29:31.740,P,132202,,,,,,
2026-05-04 22:29:31.742,P,144639,,,,,,
2026-05-04 22:29:31.744,P,73926,,,,,,
2026-05-04 22:29:31.802,P,2491,,,,,,
2026-05-04 22:29:31.803,P,239853,,,,,,
2026-05-04 22:29:31.804,P,251750,,,,,,
2026-05-04 22:29:31.860,P,110769,,,,,,
2026-05-04 22:29:31.861,P,110974,,,,,,
2026-05-04 22:29:31.861,P,94953,,,,,,
2026-05-04 22:29:31.921,P,179769,,,,,,
2026-05-04 22:29:31.922,P,207665,,,,,,
2026-05-04 22:29:31.923,P,137898,,,,,,
2026-05-04 22:29:31.982,P,205524,,,,,,
2026-05-04 22:29:31.984,P,6874,,,,,,
2026-05-04 22:29:31.986,P,236399,,,,,,
2026-05-04 22:29:32.041,P,82153,,,,,,
2026-05-04 22:29:32.041,P,109796,,,,,,
2026-05-04 22:29:32.042,P,49552,,,,,,
2026-05-04 22:29:32.102,P,77524,,,,,,
2026-05-04 22:29:32.104,P,97967,,,,,,
2026-05-04 22:29:32.105,P,188213,,,,,,
2026-05-04 22:29:32.160,P,71370,,,,,,
2026-05-04 22:29:32.161,P,2330,,,,,,
2026-05-04 22:29:32.162,P,148830,,,,,,
2026-05-04 22:29:32.220,P,234146,,,,,,
2026-05-04 22:29:32.220,P,240200,,,,,,
2026-05-04 22:29:32.221,P,194043,,,,,,
2026-05-04 22:29:32.280,P,250577,,,,,,
2026-05-04 22:29:32.280,P,84500,,,,,,
2026-05-04 22:29:32.281,P,157314,,,,,,
2026-05-04 22:29:32.341,P,102835,,,,,,
2026-05-04 22:29:32.342,P,136343,,,,,,
2026-05-04 22:29:32.343,P,26069,,,,,,
2026-05-04 22:29:32.400,P,229342,,,,,,
2026-05-04 22:29:32.401,P,136220,,,,,,
2026-05-04 22:29:32.401,P,239840,,,,,,
2026-05-04 22:29:32.461,P,92011,,,,,,
2026-05-04 22:29:32.462,P,134812,,,,,,
2026-05-04 22:29:32.463,P,167091,,,,,,
2026-05-04 22:29:32.520,P,201751,,,,,,
2026-05-04 22:29:32.520,P,40870,,,,,,
2026-05-04 22:29:32.521,P,93176,,,,,,
2026-05-04 22:29:32.581,G,3282,,,,,,
2026-05-04 22:29:32.583,G,3247,,,,,,
2026-05-04 22:29:32.584,G,2726,,,,,,
2026-05-04 22:29:32.640,G,2197,,,,,,
2026-05-04 22:29:32.641,G,2196,,,,,,
2026-05-04 22:29:32.641,G,380,,,,,,
2026-05-04 22:29:32.701,G,1273,,,,,,
2026-05-04 22:29:32.703,G,4071,,,,,,
2026-05-04 22:29:32.705,FEATURE,,92.74824523925781,73986.203125,106824.765625,2316.5,3691.0,3.0
2026-05-04 22:29:32.760,P,227778,,,,,,
2026-05-04 22:29:32.761,P,128963,,,,,,
