timestamp,mode,raw_gsr,ir_raw,filtered_ppg,ppg_mean_hr,ppg_sdnn,ppg_rmssd,gsr_scl,gsr_scr_amp,gsr_scr_freq,ppg_sdnn_z,ppg_rmssd_z,gsr_scl_z,gsr_scr_amp_z,gsr_scr_freq_z,final_ppg_stress_z,final_gsr_stress_z,valid_feature_count,integrated_stress_z,integrated_state
0,STABILIZING,655,99895,0.00,,,,,,,,,,,,,,0,,
1028,STABILIZING,652,99544,-405.42,,,,,,,,,,,,,,0,,
2028,STABILIZING,617,99744,-10.68,,,,,,,,,,,,,,0,,
3029,STABILIZING,592,99403,-302.02,,,,,,,,,,,,,,0,,
4030,STABILIZING,594,99335,-296.05,,,,,,,,,,,,,,0,,
5031,STABILIZING,590,99809,188.86,,,,,,,,,,,,,,0,,
6031,STABILIZING,581,99173,-423.50,,,,,,,,,,,,,,0,,
7032,STABILIZING,582,98925,-539.48,,,,,,,,,,,,,,0,,
8033,STABILIZING,602,98347,-913.18,,,,,,,,,,,,,,0,,
9034,STABILIZING,635,98500,-577.73,,,,,,,,,,,,,,0,,
10035,STABILIZING,653,97635,-1181.88,,,,,,,,,,,,,,0,,
11035,STABILIZING,651,98230,-394.21,,,,,,,,,,,,,,0,,
12036,STABILIZING,578,97910,-594.98,,,,,,,,,,,,,,0,,
13037,STABILIZING,586,98111,-313.59,,,,,,,,,,,,,,0,,
14040,STABILIZING,637,98831,395.16,,,,,,,,,,,,,,0,,
15040,CALIBRATION,627,98401,-72.12,,,,,,,,,,,,,,0,,
16040,CALIBRATION,613,98419,-64.75,,,,,,,,,,,,,,0,,
17041,CALIBRATION,603,98718,236.95,,,,,,,,,,,,,,0,,
18042,CALIBRATION,597,98127,-315.09,,,,,,,,,,,,,,0,,
19042,CALIBRATION,618,99213,726.20,,,,,,,,,,,,,,0,,
20043,CALIBRATION,612,98242,-283.85,,,,,,,,,,,,,,0,,
21044,CALIBRATION,620,98080,-402.00,,,,,,,,,,,,,,0,,
22045,CALIBRATION,629,98447,40.52,,,,,,,,,,,,,,0,,
23045,CALIBRATION,628,98800,387.02,78,58.6,46.1,,,,,,,,,,,0,,
24046,CALIBRATION,626,98224,-208.55,78,53.8,53.1,,,,,,,,,,,0,,
25047,CALIBRATION,618,98491,44.14,78,49.9,49.1,,,,,,,,,,,0,,
26049,CALIBRATION,615,98940,475.30,78,46.8,45.9,,,,,,,,,,,0,,
27049,CALIBRATION,617,97989,-446.57,79,51.0,50.8,,,,,,,,,,,0,,
28049,CALIBRATION,611,98482,110.11,80,53.8,48.5,,,,,,,,,,,0,,
29050,CALIBRATION,598,97877,-418.48,81,60.0,45.1,,,,,,,,,,,0,,
30053,CALIBRATION,609,98413,208.63,81,59.8,43.7,,,,,,,,,,,0,,
31093,CALIBRATION,486,99001,617.89,81,56.5,43.3,,,,,,,,,,,0,,
32093,CALIBRATION,478,98853,331.74,81,56.5,43.3,,,,,,,,,,,0,,
33094,CALIBRATION,470,99630,992.11,81,56.5,43.3,,,,,,,,,,,0,,
34094,CALIBRATION,628,99312,454.29,81,56.5,43.3,,,,,,,,,,,0,,
35097,CALIBRATION,653,98667,-143.30,81,56.5,43.3,,,,,,,,,,,0,,
36139,CALIBRATION,653,98022,-652.09,81,56.5,43.3,,,,,,,,,,,0,,
37177,CALIBRATION,652,96945,-1375.73,81,56.5,43.3,,,,,,,,,,,0,,
38177,CALIBRATION,653,96801,-1226.77,81,56.5,43.3,,,,,,,,,,,0,,
39179,CALIBRATION,654,97698,-152.90,81,56.5,43.3,,,,,,,,,,,0,,
40179,CALIBRATION,654,97898,37.87,81,56.5,43.3,,,,,,,,,,,0,,
41180,CALIBRATION,510,97822,-56.09,81,54.9,43.0,,,,,,,,,,,0,,
42181,CALIBRATION,485,98667,735.56,82,53.5,41.8,,,,,,,,,,,0,,
43182,CALIBRATION,549,98199,167.62,82,52.2,40.6,,,,,,,,,,,0,,
44183,CALIBRATION,542,98613,536.76,84,94.3,80.5,,,,,,,,,,,0,,
45183,CALIBRATION,401,97792,-352.59,84,90.4,102.3,,,,,,,,,,,0,,
