timestamp,mode,raw_gsr,ir_raw,filtered_ppg,ppg_mean_hr,ppg_sdnn,ppg_rmssd,gsr_scl,gsr_scr_amp,gsr_scr_freq,ppg_sdnn_z,ppg_rmssd_z,gsr_scl_z,gsr_scr_amp_z,gsr_scr_freq_z,final_ppg_stress_z,final_gsr_stress_z,valid_feature_count,integrated_stress_z,integrated_state
0,STABILIZING,582,90437,0.00,,,,,,,,,,,,,,0,,
1001,STABILIZING,579,88475,-1746.93,,,,,,,,,,,,,,0,,
2002,STABILIZING,579,90348,373.47,,,,,,,,,,,,,,0,,
3002,STABILIZING,576,90584,474.53,,,,,,,,,,,,,,0,,
4003,STABILIZING,575,90909,709.53,,,,,,,,,,,,,,0,,
5004,STABILIZING,571,89258,-964.06,,,,,,,,,,,,,,0,,
6004,STABILIZING,568,92001,1848.50,,,,,,,,,,,,,,0,,
7005,STABILIZING,566,90306,-137.80,,,,,,,,,,,,,,0,,
8006,STABILIZING,565,88832,-1292.43,,,,,,,,,,,,,,0,,
9007,STABILIZING,565,88804,-1048.80,,,,,,,,,,,,,,0,,
10008,STABILIZING,564,88646,-1048.88,,,,,,,,,,,,,,0,,
11047,STABILIZING,563,90046,438.16,,,,,,,,,,,,,,0,,
12050,STABILIZING,561,91951,2133.05,,,,,,,,,,,,,,0,,
13050,STABILIZING,560,90596,593.51,,,,,,,,,,,,,,0,,
14050,STABILIZING,556,90375,271.62,,,,,,,,,,,,,,0,,
15051,CALIBRATION,555,92170,1752.56,,,,,,,,,,,,,,0,,
16051,CALIBRATION,554,92646,1774.71,,,,,,,,,,,,,,0,,
17053,CALIBRATION,551,94298,2791.34,,,,,,,,,,,,,,0,,
18092,CALIBRATION,550,94649,2454.09,,,,,,,,,,,,,,0,,
19093,CALIBRATION,548,94511,1779.46,,,,,,,,,,,,,,0,,
20096,CALIBRATION,550,93569,520.77,,,,,,,,,,,,,,0,,
21134,CALIBRATION,544,92865,-186.91,,,,,,,,,,,,,,0,,
22135,CALIBRATION,546,92357,-577.89,,,,,,,,,,,,,,0,,
23139,CALIBRATION,547,92632,-212.45,,,,,,,,,,,,,,0,,
24177,CALIBRATION,545,92108,-620.87,,,,,,,,,,,,,,0,,
25216,CALIBRATION,544,91422,-1064.28,,,,,,,,,,,,,,0,,
26218,CALIBRATION,547,90890,-1281.00,,,,,,,,,,,,,,0,,
27219,CALIBRATION,544,90627,-1287.09,,,,,,,,,,,,,,0,,
28219,CALIBRATION,543,90563,-1030.63,,,,,,,,,,,,,,0,,
29220,CALIBRATION,547,91908,323.41,,,,,,,,,,,,,,0,,
30259,CALIBRATION,546,90469,-1061.57,,,,,,,,,,,,,,0,,
31260,CALIBRATION,545,91401,-45.06,,,,,,,,,,,,,,0,,
32261,CALIBRATION,544,90804,-548.18,,,,,,,,,,,,,,0,,
33261,CALIBRATION,542,90606,-610.64,,,,,,,,,,,,,,0,,
34262,CALIBRATION,543,90438,-663.75,,,,,,,,,,,,,,0,,
35262,CALIBRATION,542,90122,-747.27,,,,,,,,,,,,,,0,,
36263,CALIBRATION,539,88995,-1540.77,,,,,,,,,,,,,,0,,
37264,CALIBRATION,540,88928,-1273.59,,,,,,,,,,,,,,0,,
38264,CALIBRATION,538,89665,-388.20,,,,,,,,,,,,,,0,,
39265,CALIBRATION,538,90016,25.73,,,,,,,,,,,,,,0,,
40266,CALIBRATION,540,90033,-4.34,,,,,,,,,,,,,,0,,
