timestamp,mode,raw_gsr,ir_raw,filtered_ppg,ppg_mean_hr,ppg_sdnn,ppg_rmssd,gsr_scl,gsr_scr_amp,gsr_scr_freq,gsr_scr_count_30s,gsr_scr_single_peak_flag,gsr_scr_enough_for_score_flag,gsr_scr_single_with_scl_rise_flag,final_ppg_stress_z,final_gsr_stress_z,valid_feature_count,integrated_stress_z,integrated_state
0,STABILIZING,333,101347,0.00,,,,,,,0,0,0,0,,,0,,
1026,STABILIZING,247,101994,562.87,,,,,,,0,0,0,0,,,0,,
2065,STABILIZING,255,101189,-340.62,,,,,,,0,0,0,0,,,0,,
3066,STABILIZING,252,100241,-1104.45,,,,,,,0,0,0,0,,,0,,
4105,STABILIZING,324,101791,525.65,,,,,,,0,0,0,0,,,0,,
5106,STABILIZING,322,101211,-94.40,,,,,,,0,0,0,0,,,0,,
6107,STABILIZING,289,100933,-319.45,,,,,,,0,0,0,0,,,0,,
7107,STABILIZING,346,101478,187.58,,,,,,,0,0,0,0,,,0,,
8108,STABILIZING,353,101516,176.18,,,,,,,0,0,0,0,,,0,,
9109,STABILIZING,360,100993,-333.65,,,,,,,0,0,0,0,,,0,,
10109,STABILIZING,380,101342,5.60,,,,,,,0,0,0,0,,,0,,
11110,STABILIZING,379,101350,12.04,,,,,,,0,0,0,0,,,0,,
12111,STABILIZING,374,100514,-711.58,,,,,,,0,0,0,0,,,0,,
13111,STABILIZING,386,100507,-601.66,,,,,,,0,0,0,0,,,0,,
14112,STABILIZING,384,100058,-848.52,,,,,,,0,0,0,0,,,0,,
15113,CALIBRATION,387,99863,-863.50,,,,,,,0,0,0,0,,,0,,
16113,CALIBRATION,392,100434,-186.85,,,,,,,0,0,0,0,,,0,,
17115,CALIBRATION,392,101154,465.62,,,,,,,0,0,0,0,,,0,,
18115,CALIBRATION,395,101091,301.48,,,,,,,0,0,0,0,,,0,,
19116,CALIBRATION,394,100867,54.00,,,,,,,0,0,0,0,,,0,,
20116,CALIBRATION,392,101321,450.81,,,,,,,0,0,0,0,,,0,,
21117,CALIBRATION,394,100921,-2.90,,,,,,,0,0,0,0,,,0,,
22118,CALIBRATION,399,100442,-463.23,,,,,,,0,0,0,0,,,0,,
23119,CALIBRATION,403,100883,80.77,,,,,,,0,0,0,0,,,0,,
24120,CALIBRATION,419,101331,473.73,,,,,,,0,0,0,0,,,0,,
25120,CALIBRATION,412,101463,518.56,,,,,,,0,0,0,0,,,0,,
26122,CALIBRATION,451,101605,627.23,,,,,,,0,0,0,0,,,0,,
27122,CALIBRATION,415,99832,-1069.18,,,,,,,0,0,0,0,,,0,,
28122,CALIBRATION,410,100218,-494.62,,,,,,,0,0,0,0,,,0,,
29124,CALIBRATION,417,99832,-732.02,,,,,,,0,0,0,0,,,0,,
30125,CALIBRATION,423,100550,90.42,,,,,,,0,0,0,0,,,0,,
31125,CALIBRATION,426,100513,-45.38,,,,,,,0,0,0,0,,,0,,
32125,CALIBRATION,414,100235,-282.21,,,,,,,0,0,0,0,,,0,,
33129,CALIBRATION,402,100310,-113.27,,,,,,,0,0,0,0,,,0,,
34129,CALIBRATION,393,99282,-970.84,,,,,,,0,0,0,0,,,0,,
35168,CALIBRATION,393,100142,-2.62,,,,,,,0,0,0,0,,,0,,
36168,CALIBRATION,397,99926,-238.25,,,,,,,0,0,0,0,,,0,,
37169,CALIBRATION,396,99748,-367.30,,,,,,,0,0,0,0,,,0,,
38169,CALIBRATION,396,100304,197.80,83,63.2,109.4,,,,0,0,0,0,,,0,,
39170,CALIBRATION,385,99135,-848.84,83,63.2,109.4,,,,0,0,0,0,,,0,,
40171,CALIBRATION,387,99401,-393.84,83,63.2,109.4,,,,0,0,0,0,,,0,,
41173,CALIBRATION,384,99030,-623.37,83,63.2,109.4,,,,0,0,0,0,,,0,,
42212,CALIBRATION,379,99662,91.76,83,63.2,109.4,,,,0,0,0,0,,,0,,
43214,CALIBRATION,411,100335,686.89,84,59.0,99.4,,,,0,0,0,0,,,0,,
44254,CALIBRATION,417,100366,526.78,92,146.6,148.5,,,,0,0,0,0,,,0,,
45254,CALIBRATION,417,99764,-116.10,92,146.6,148.5,,,,0,0,0,0,,,0,,
46255,CALIBRATION,417,98462,-1236.82,92,146.6,148.5,,,,0,0,0,0,,,0,,
47256,CALIBRATION,388,98977,-485.80,92,146.6,148.5,,,,0,0,0,0,,,0,,
