timestamp,mode,raw_gsr,ir_raw,filtered_ppg,ppg_mean_hr,ppg_sdnn,ppg_rmssd,gsr_scl,gsr_scr_amp,gsr_scr_freq,gsr_scr_count_30s,gsr_scr_single_peak_flag,gsr_scr_enough_for_score_flag,gsr_scr_single_with_scl_rise_flag,final_ppg_stress_z,final_gsr_stress_z,valid_feature_count,integrated_stress_z,integrated_state
0,STABILIZING,654,98195,0.00,,,,,,,0,0,0,0,,,0,,
1018,STABILIZING,655,97499,-659.71,,,,,,,0,0,0,0,,,0,,
2054,STABILIZING,655,94883,-2905.09,,,,,,,0,0,0,0,,,0,,
3055,STABILIZING,654,95104,-2009.28,,,,,,,0,0,0,0,,,0,,
4056,STABILIZING,654,94238,-2221.48,,,,,,,0,0,0,0,,,0,,
5056,STABILIZING,653,96148,-16.29,,,,,,,0,0,0,0,,,0,,
6058,STABILIZING,654,93757,-2146.88,,,,,,,0,0,0,0,,,0,,
7058,STABILIZING,654,93955,-1473.84,,,,,,,0,0,0,0,,,0,,
8060,STABILIZING,655,94608,-461.88,,,,,,,0,0,0,0,,,0,,
9060,STABILIZING,654,98287,2546.85,,,,,,,0,0,0,0,,,0,,
10060,STABILIZING,654,100763,4156.97,,,,,,,0,0,0,0,,,0,,
11062,STABILIZING,655,100141,2635.72,,,,,,,0,0,0,0,,,0,,
12062,STABILIZING,654,100066,1991.99,,,,,,,0,0,0,0,,,0,,
13062,STABILIZING,655,99419,961.32,,,,,,,0,0,0,0,,,0,,
14063,STABILIZING,654,98907,254.41,,,,,,,0,0,0,0,,,0,,
15064,CALIBRATION,652,98664,16.88,,,,,,,0,0,0,0,,,0,,
16064,CALIBRATION,655,98014,-591.36,,,,,,,0,0,0,0,,,0,,
17066,CALIBRATION,655,98365,-175.04,,,,,,,0,0,0,0,,,0,,
18070,CALIBRATION,655,100211,1462.90,,,,,,,0,0,0,0,,,0,,
19070,CALIBRATION,655,99638,689.43,,,,,,,0,0,0,0,,,0,,
20107,CALIBRATION,654,99140,103.70,,,,,,,0,0,0,0,,,0,,
21108,CALIBRATION,653,99054,5.24,,,,,,,0,0,0,0,,,0,,
22109,CALIBRATION,654,99545,478.93,,,,,,,0,0,0,0,,,0,,
23111,CALIBRATION,654,98787,-291.46,,,,,,,0,0,0,0,,,0,,
24111,CALIBRATION,653,98764,-266.98,,,,,,,0,0,0,0,,,0,,
25111,CALIBRATION,652,99182,185.07,,,,,,,0,0,0,0,,,0,,
26112,CALIBRATION,654,97883,-988.51,,,,,,,0,0,0,0,,,0,,
27113,CALIBRATION,653,97959,-742.88,,,,,,,0,0,0,0,,,0,,
28117,CALIBRATION,653,98000,-514.12,,,,,,,0,0,0,0,,,0,,
29154,CALIBRATION,654,96836,-1356.30,,,,,,,0,0,0,0,,,0,,
30155,CALIBRATION,654,97716,-279.68,,,,,,,0,0,0,0,,,0,,
31156,CALIBRATION,653,95898,-1825.38,,,,,,,0,0,0,0,,,0,,
32156,CALIBRATION,651,96150,-1200.73,,,,,,,0,0,0,0,,,0,,
33157,CALIBRATION,654,98842,1396.77,,,,,,,0,0,0,0,,,0,,
34158,CALIBRATION,654,98957,1169.11,,,,,,,0,0,0,0,,,0,,
35159,CALIBRATION,654,99599,1414.79,,,,,,,0,0,0,0,,,0,,
36159,CALIBRATION,654,98705,302.31,,,,,,,0,0,0,0,,,0,,
37160,CALIBRATION,655,98482,43.99,,,,,,,0,0,0,0,,,0,,
38161,CALIBRATION,654,99961,1302.58,,,,,,,0,0,0,0,,,0,,
39161,CALIBRATION,654,99168,339.15,,,,,,,0,0,0,0,,,0,,
40162,CALIBRATION,654,99739,859.45,,,,,,,0,0,0,0,,,0,,
41165,CALIBRATION,653,98851,-133.87,,,,,,,0,0,0,0,,,0,,
42165,CALIBRATION,654,99426,418.91,,,,,,,0,0,0,0,,,0,,
43165,CALIBRATION,654,98352,-582.30,,,,,,,0,0,0,0,,,0,,
44166,CALIBRATION,653,97866,-917.49,,,,,,,0,0,0,0,,,0,,
45166,CALIBRATION,653,98287,-164.69,,,,,,,0,0,0,0,,,0,,
46167,CALIBRATION,655,98728,161.26,,,,,,,0,0,0,0,,,0,,
47168,CALIBRATION,653,98729,130.62,,,,,,,0,0,0,0,,,0,,
48169,CALIBRATION,654,97140,-1281.59,,,,,,,0,0,0,0,,,0,,
49170,CALIBRATION,654,99280,865.99,,,,,,,0,0,0,0,,,0,,
50170,CALIBRATION,654,99509,888.82,,,,,,,0,0,0,0,,,0,,
51171,CALIBRATION,654,99249,468.75,,,,,,,0,0,0,0,,,0,,
