time_ms,mode,ir_raw,filtered_ppg,ibi_ms,valid_ibi_ms,mean_hr,sdnn,rmssd,baseline_mean_hr_mean,baseline_mean_hr_std,baseline_sdnn_mean,baseline_sdnn_std,baseline_rmssd_mean,baseline_rmssd_std,ibi_count,baseline_count,no_finger_count,pc_elapsed_sec,analysis_mode,time_sec
2034,NO_FINGER,168,-26.1968,,,,,,,,,,,,0,0,52,0.0,NO_FINGER,2.034
3034,NO_FINGER,171,-32.9388,,,,,,,,,,,,0,0,77,0.01,NO_FINGER,3.034
4035,NO_FINGER,167,-28.6786,,,,,,,,,,,,0,0,102,0.51,NO_FINGER,4.035
5035,NO_FINGER,169,-13.7849,,,,,,,,,,,,0,0,127,1.51,NO_FINGER,5.035
6036,NO_FINGER,170,-3.5309,,,,,,,,,,,,0,0,152,2.51,NO_FINGER,6.036
7037,NO_FINGER,167,-2.5068,,,,,,,,,,,,0,0,177,3.51,NO_FINGER,7.037
8037,NO_FINGER,149,-12.7582,,,,,,,,,,,,0,0,202,4.51,NO_FINGER,8.037
9038,CALIBRATION,26748,20247.0879,,,,,,,,,,,,0,0,217,5.51,BASELINE,9.038
10038,CALIBRATION,27341,1655.604,,,,,,,,,,,,0,0,217,6.51,BASELINE,10.038
11039,CALIBRATION,27315,-4931.9155,,,,,,,,,,,,0,0,217,7.51,BASELINE,11.039
12039,CALIBRATION,27219,-5388.2612,,,,,,,,,,,,0,0,217,8.51,BASELINE,12.039
13040,CALIBRATION,27300,-3546.4324,,,,,,,,,,,,0,0,217,9.51,BASELINE,13.04
14041,CALIBRATION,27194,-1771.4427,,,,,,,,,,,,0,0,217,10.51,BASELINE,14.041
15041,CALIBRATION,27229,-466.3328,,,,,,,,,,,,0,0,217,11.51,BASELINE,15.041
16042,CALIBRATION,27184,72.9817,,,,,,,,,,,,0,0,217,12.52,BASELINE,16.042
17043,CALIBRATION,27254,288.7802,,,,,,,,,,,,0,0,217,13.52,BASELINE,17.043
18043,CALIBRATION,27190,185.234,,,,,,,,,,,,0,0,217,14.52,BASELINE,18.043
19044,CALIBRATION,27206,120.0097,,,,,,,,,,,,0,0,217,15.52,BASELINE,19.044
20045,CALIBRATION,27222,111.7692,,,,,,,,,,,,0,0,217,16.52,BASELINE,20.045
21046,CALIBRATION,27099,-121.6593,,,,,,,,,,,,0,0,217,17.52,BASELINE,21.046
22046,CALIBRATION,26568,-1417.3715,,,,,,,,,,,,0,0,217,18.52,BASELINE,22.046
23047,CALIBRATION,25836,-49.5664,,,,,,,,,,,,0,0,217,19.52,BASELINE,23.047
24048,CALIBRATION,25730,194.2578,15010.0,,,,,,,,,,,0,0,217,20.52,BASELINE,24.048
25049,CALIBRATION,25754,268.2623,640.0,640.0,,,,,,,,,,1,0,217,21.52,BASELINE,25.049
26049,CALIBRATION,25755,193.2947,680.0,680.0,,,,,,,,,,3,0,217,22.52,BASELINE,26.049
27050,CALIBRATION,25793,117.8202,680.0,680.0,,,,,,,,,,3,0,217,23.52,BASELINE,27.05
28051,CALIBRATION,25752,41.9198,1361.0,,,,,,,,,,,3,0,217,24.52,BASELINE,28.051
29051,CALIBRATION,25816,-4.6903,1361.0,,,,,,,,,,,3,0,217,25.52,BASELINE,29.051
30052,CALIBRATION,25834,24.9848,1361.0,,,,,,,,,,,3,0,217,26.53,BASELINE,30.052
31053,CALIBRATION,25741,-67.8463,1361.0,,,,,,,,,,,3,0,217,27.53,BASELINE,31.053
32054,CALIBRATION,25695,-61.3315,1361.0,,,,,,,,,,,3,0,217,28.53,BASELINE,32.054
33054,CALIBRATION,25665,19.0105,1361.0,,,,,,,,,,,3,0,217,29.53,BASELINE,33.054
34055,CALIBRATION,25654,-16.8365,1361.0,,,,,,,,,,,3,0,217,30.53,BASELINE,34.055
35056,CALIBRATION,25895,182.6346,1361.0,,,,,,,,,,,3,0,217,31.53,BASELINE,35.056
36057,CALIBRATION,26036,78.3514,8286.0,,,,,,,,,,,3,0,217,32.53,BASELINE,36.057
37057,CALIBRATION,26031,-62.3463,8286.0,,,,,,,,,,,3,0,217,33.53,BASELINE,37.057
38058,CALIBRATION,26009,-87.2082,8286.0,,,,,,,,,,,3,0,217,34.53,BASELINE,38.058
